Albania,Αλβανία,آلبانیا
Algeria,Αλγερία,الجزایر
Andorra,Ανδόρα,آندورا
Argentina,Αργεντινή,آرژانتین
Australia,Αυστραλία,استرالیا
Austria,Αυστρία,اتریش
Azerbaijan,Αζερμπαϊτζάν,آذربایجان
Bahrain,Μπαχρέιν,بحرین
Bangladesh,Μπανγκλαντές,بنگلادش
Belarus,Λευκορωσία,بلاروس
Belgium,Βέλγιο,بلژیک
Bolivia,Βολιβία,بولیوی
Bosnia & Herzegovina,Βοσνία & Ερζεγοβίνη,بوسنی و هرزگوین
Botswana,Μποτσουάνα,بوتسوانا
Brazil,Βραζιλία,برزیل
Bulgaria,Βουλγαρία,بلغارستان
Burundi,Μπουρούντι,بوروندی
Cameroon,Καμερούν,کامرون
Canada,Καναδάς,کانادا
Chile,Χιλή,شیلی
Colombia,Κολομβία,کلمبیا
Congo,Κονγκό,کنگو
Costa Rica,Κόστα Ρίκα,کاستاریکا
Croatia,Κροατία,کرواسی
Cyprus,Κύπρος,قبرس
Czech Republic,Τσεχία,جمهوری چک
Denmark,Δανία,دانمارک
Ecuador,Ισημερινός,اکوادور
Egypt,Αίγυπτος,مصر
El Salvador,Ελ Σαλβαδόρ,السالوادور
England,Αγγλία,انگلستان
Estonia,Εσθονία,استونیا
Finland,Φινλανδία,فنلاند
France,Γαλλία,فرانسه
Georgia,Γεωργία,گرجستان
Germany,Γερμανία,آلمان
Ghana,Γκάνα,غنا
Gibraltar,Γιβραλτάρ,جبل الطارق
Greece,Ελλάδα,یونان
Guatemala,Γουατεμάλα,گواتمالا
Honduras,Ονδούρα,هندوراس
"Hong Kong, China","Χονγκ Κονγκ, Κίνα",هنگ کنگ، چین
Hungary,Ουγγαρία,مجارستان
Iceland,Ισλανδία,ایسلند
India,Ινδία,هند
Indonesia,Ινδονησία,اندونزی
International,Διεθνής,بین المللی
Iran,Ιράν,ایران
Ireland,Ιρλανδία,ایرلند
Israel,Ισραήλ,اسرائیل
Italy,Ιταλία,ایتالیا
Ivory Coast,Ακτή Ελεφαντοστού,ساحل عاج
Jamaica,Τζαμάικα,جامائیکا
Japan,Ιαπωνία,ژاپن
Kenya,Κένυα,کنیا
Kosovo,Κοσσυφοπέδιο,کوزوو
Kuwait,Κουβέιτ,کویت
Lebanon,Λίβανος,لبنان
Luxembourg,Λουξεμβούργο,لوکزامبورگ
Malaysia,Μαλαισία,مالزی
Malta,Μάλτα,مالت
Mexico,Μεξικό,مکزیک
Netherlands,Ολλανδία,هلند
Nicaragua,Νικαράγουα,نیکاراگوئه
Nigeria,Νιγηρία,نیجریه
Northern Ireland,Βόρεια Ιρλανδία,شمال ایرلند
North Macedonia,Βόρεια Μακεδονία,شمال مقدونیه
Norway,Νορβηγία,نروژ
Oman,Ομάν,عمان
Palestine,Παλαιστίνη,فلسطین
Panama,Παναμάς,پاناما
Paraguay,Παραγουάη,پاراگوئه
Peru,Περού,پرو
Philippines,Φιλιππίνες,فیلیپین
Poland,Πολωνία,لهستان
Portugal,Πορτογαλία,پرتغال
Qatar,Κατάρ,قطر
Republic of Korea,Δημοκρατία της Κορέας,جمهوری کره
Romania,Ρουμανία,رومانی
Russia,Ρωσία,روسیه
Rwanda,Ρουάντα,رواندا
San Marino,Σαν Μαρίνο,سان مارینو
Saudi Arabia,Σαουδική Αραβία,عربستان سعودی
Scotland,Σκωτία,اسکاتلند
Serbia,Σερβία,صربستان
Slovakia,Σλοβακία,اسلواکی
Slovenia,Σλοβενία,اسلوونی
South Africa,Νότια Αφρική,جنوب افریقا
Spain,Ισπανία,اسپانیا
Sweden,Σουηδία,سوئد
Switzerland,Ελβετία,سوئیس
Tanzania,Τανζανία,تانزانیا
Thailand,Ταϊλάνδη,تایلند
Tunisia,Τυνησία,تونس
Turkiye,Τουρκία,ترکیه
Uganda,Ουγκάντα,اوگاندا
Ukraine,Ουκρανία,اوکراین
Uruguay,Ουρουγουάη,اروگوئه
USA,ΗΠΑ,ایالات متحده
Venezuela,Βενεζουέλα,ونزوئلا
Vietnam,Βιετνάμ,ویتنام
Wales,Ουαλία,ویلز
Zambia,Ζάμπια,زامبیا
China,Κίνα,چین
Chinese Taipei,Κινέζικη Ταϊπέι,تایپه چینی
Lithuania,Λιθουανία,لیتوانی
New Zealand,Νέα Ζηλανδία,نیوزیلند
Kazakhstan,Καζακστάν,قزاقستان
Latvia,Λετονία,لتونی
North America,Βόρεια Αμερική,آمریکای شمالی
Pakistan,Πακιστάν,پاکستان
Angola,Ανγκόλα,آنگولا
Ethiopia,Αιθιοπία,اتیوپی
